Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,340.2926,346.8758,402.4493,454.2979,459.989,..,..,..
Brunei Darussalam,BRN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,12.9658,13.6539,14.254,13.4304,15.4755,15.3448,14.8294,..
Brunei Darussalam,BRN,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,58.4557475618996,66.8650551169555,74.1989098819446,64.1336494512746,89.1269278713367,87.529636056999,81.2309046024491,..
Brunei Darussalam,BRN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,30.4365789189519,31.732887727877,32.8225958726518,30.6596537365768,35.0342407606543,34.4538173620763,33.0274698108249,..
Brunei Darussalam,BRN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,10.2862,10.9743,11.5744,10.7508,12.7959,..,..,..
Myanmar,MMR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,140.7935,157.4695,160.0976,162.1091,163.5066,166.9622,169.3869,..
Myanmar,MMR,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,93.4851052192543,116.402055324453,120.013714989329,122.778013690253,124.698524470537,129.447373881878,132.779511619949,..
Myanmar,MMR,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.71318417287296,3.01156045474841,3.03986551934612,3.0563433645401,3.06059176764371,3.10349714313246,3.12641324715381,..
Myanmar,MMR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,189.6985,206.3745,209.0026,211.0141,212.4116,..,..,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,
