METADATA:
Indicator: Breakdown of LCY Bond Market Issuance
Definition: This indicator shows the gross amount of local currency (LCY) bond issuance in USD. It provides a breakdown of issuance by central governments (mainly treasuries) and other government entities, central banks, and corporates or private institutions.
Available Economies: CN,HK,ID,JP,KR,LA,MY,PH,SG,TH,VN,VN*
Available Years: 1995-2024
Frequency: quarterly updates
Latest Data: Sep-2024

DISCLAIMER: The ADB provides no warranty or undertaking of any kind in respect to the information and materials found on, or linked to, AsianBondsOnline. The ADB accepts no responsibility for the accuracy of the material posted or linked to the publication, or the information contained therein, or for any consequences arising from its use and does not invite or accept reliance being placed on any materials or information so provided. Views expressed in articles marked with AsianBondsOnline are those of the authors, and not ADB. This disclaimer does not derogate from, and is in addition to, the general terms and conditions regarding the use of the AsianBondsOnline Web Site, which also apply.

Economy,Date,"Corporate(LCY billions)","Government(LCY billions)","Total(LCY billions)","Corporate(USD billions)","Government(USD billions)","Total(USD billions)"
HK,2009,194.344900,5.5000,199.844900,25.0628554479,0.70928388,25.7721393291
HK,2010,179.220400,18.5000,197.720400,23.0564896888,2.38000283,25.4364925191
HK,2011,230.066400,27.5000,257.566400,29.6194865721,3.54043824,33.1599248140
HK,2012,278.801600,26.0000,304.801600,35.9730074965,3.35470885,39.3277163465
HK,2013,233.326100,30.0000,263.326100,30.0910626773,3.86897085,33.9600335311
HK,2014,252.721800,30.8000,283.521800,32.5878196284,3.97157999,36.5593996209
HK,2015,251.810600,30.4000,282.210600,32.4887558543,3.92222638,36.4109822339
HK,2016,362.942300,29.4000,392.342300,46.7956394487,3.79066259,50.5863020410
HK,2017,334.871000,19.6000,354.471000,42.8552597901,2.50831840,45.3635781930
HK,2018,859.821200,19.6000,879.421200,109.7844967377,2.50258558,112.2870823172
HK,2019,790.025200,20.4000,810.425200,101.3970788305,2.61827143,104.0153502580
HK,2020,933.191100,48.2000,981.391100,120.3636093950,6.21686809,126.5804774864
HK,2021,930.092700,69.4000,999.492700,119.2946540800,8.90131596,128.1959700382
HK,2022,901.665600,86.8000,988.465600,115.5744462674,11.12592289,126.7003691550
HK,2023,948.488700,106.3000,1054.788700,121.4220956282,13.60814184,135.0302374704
ID,2002,2350.000000,2000.0000,4350.000000,0.2625698324,0.22346369,0.4860335196
ID,2003,26676.707700,11712.5000,38389.207700,3.1682550713,1.39103325,4.5592883254
ID,2004,21435.386400,23574.0000,45009.386400,2.3123394175,2.54304207,4.8553814887
ID,2005,9539.500000,22540.0000,32079.500000,0.9704476094,2.29298067,3.2634282808
ID,2006,11650.100000,42578.6500,54228.750000,1.2951750973,4.73359088,6.0287659811
ID,2007,31260.580000,86379.6950,117640.275000,3.3280719685,9.19617747,12.5242494411
ID,2008,20650.000000,86931.6400,107581.640000,1.8570143885,7.81759353,9.6746079137
ID,2009,28974.000000,97256.0200,126230.020000,3.0810293492,10.34198426,13.4230136112
ID,2010,38381.000000,134170.8600,172551.860000,4.2664517563,14.91450200,19.1809537572
ID,2011,44587.030000,169501.4100,214088.440000,4.9164218767,18.69019848,23.6066203551
ID,2012,67561.000000,194809.5500,262370.550000,6.8989073828,19.89273461,26.7916419892
ID,2013,57636.000000,263993.1300,321629.130000,4.7355188563,21.69034015,26.4258590091
ID,2014,46194.800000,310526.2550,356721.055000,3.7289958024,25.06669801,28.7956938166
ID,2015,62570.000000,360003.7900,422573.790000,4.5380040615,26.10993545,30.6479395126
ID,2016,112885.250000,463422.4550,576307.705000,8.3786276256,34.39638202,42.7750096489
ID,2017,154856.870000,563203.9270,718060.797000,11.4243356695,41.54953353,52.9738691996
ID,2018,99484.190000,578638.5530,678122.743000,6.9134252953,40.21115726,47.1245825573
ID,2019,129212.108000,727727.6950,856939.803000,9.3186288764,52.48288584,61.8015147122
ID,2020,86590.960000,1372438.3980,1459029.358000,6.1630576512,97.68244826,103.8455059075
ID,2021,103312.224000,1065549.0270,1168861.251000,7.2433726425,74.70721636,81.9505890065
ID,2022,152001.045300,895939.9990,1047941.044300,9.7636848214,57.55010271,67.3137875321
ID,2023,124184.292900,765310.5330,889494.825900,8.0654863220,49.70517198,57.7706583036
JP,1998,36492.631100,61395.3547,97887.985800,321.2379498239,540.45206602,861.6900158451
JP,1999,33479.280200,88057.5606,121536.840800,326.5952609502,859.01434592,1185.6096068676
JP,2000,32093.284600,99335.0666,131428.351200,280.5111843370,868.23762433,1148.7488086706
JP,2001,29150.340500,106811.0080,135961.348500,221.4062015798,811.26392222,1032.6701238037
JP,2002,21678.323800,117420.2940,139098.617800,182.4928344137,988.46951764,1170.9623520498
JP,2003,18287.414100,129088.2489,147375.663000,170.5597285954,1203.95680750,1374.5165360940
JP,2004,15724.735000,139728.1263,155452.861300,153.2177238624,1361.47448407,1514.6922079314
JP,2005,17397.885500,141816.7450,159214.630500,147.7527430998,1204.38849257,1352.1412356688
JP,2006,15379.126600,143949.8205,159328.947100,129.1820797984,1209.15430911,1338.3363889122
JP,2007,18027.863400,116979.9526,135007.816000,161.3231624161,1046.80047069,1208.1236331096
JP,2008,17445.494900,114642.2464,132087.741300,192.4701555605,1264.80854369,1457.2786992498
JP,2009,17405.675300,135045.5438,152451.219100,187.0974449102,1451.63435236,1638.7317972697
JP,2010,15468.922100,155984.3775,171453.299600,190.6918404832,1922.88433802,2113.5761785010
JP,2011,13871.468400,153651.3263,167522.794700,180.3597503576,1997.80686907,2178.1666194253
JP,2012,13325.676400,158149.7928,171475.469200,153.6101025937,1823.05236657,1976.6624691643
JP,2013,13055.640600,166272.5512,179328.191800,123.9734175292,1578.88663185,1702.8600493780
JP,2014,13584.065000,166388.2051,179972.270100,113.4084571715,1389.11508683,1502.5235439973
JP,2015,11427.996500,163128.9200,174556.916500,95.0590292797,1356.91998004,1451.9790093163
JP,2016,13820.762900,159577.8280,173398.590900,118.1665774624,1364.37951436,1482.5460918263
JP,2017,14232.025400,155075.0648,169307.090200,126.2935965924,1376.12090514,1502.4145017304
JP,2018,14000.393100,148002.2951,162002.688200,127.6360023703,1349.27792050,1476.9139228736
JP,2019,17587.278300,142277.9326,159865.210900,161.9305616426,1309.98925145,1471.9198130927
JP,2020,17395.990000,186503.3790,203899.369000,168.4841646489,1806.32812591,1974.8122905569
JP,2021,16966.868000,229612.1200,246578.988000,147.4354188391,1995.23913799,2142.6745568300
JP,2022,14252.444000,202755.7560,217008.200000,108.6977120195,1546.33737035,1655.0350823673
JP,2023,17211.307000,207419.8640,224631.171000,122.0313882587,1470.64566081,1592.6770490641
KR,1997,0.000000,0.0000,0.000000,0.0000000000,0.00000000,0.0000000000
KR,1998,0.000000,0.0000,0.000000,0.0000000000,0.00000000,0.0000000000
KR,1999,0.000000,0.0000,0.000000,0.0000000000,0.00000000,0.0000000000
KR,2000,0.000000,4000.0000,4000.000000,0.0000000000,3.16205534,3.1620553360
KR,2001,173094.500000,21830.0000,194924.500000,131.7811191473,16.61971831,148.4008374572
KR,2002,138855.200000,19350.1000,158205.300000,117.1082061230,16.31955807,133.4277641899
KR,2003,123563.100000,34520.0000,158083.100000,103.6516231860,28.95730224,132.6089254257
KR,2004,131968.700000,55950.0000,187918.700000,127.4936721090,54.05274853,181.5464206357
KR,2005,147247.300000,62550.0000,209797.300000,145.7894059406,61.93069307,207.7200990099
KR,2006,180363.000000,60668.2000,241031.200000,194.0012907389,65.25567387,259.2569646122
KR,2007,205106.800000,48259.0000,253365.800000,219.2787880732,51.59348707,270.8722751425
KR,2008,226917.200000,52054.0000,278971.200000,180.1573577865,41.32745822,221.4848160057
KR,2009,284946.800000,84976.0000,369922.800000,244.7996563574,73.00343643,317.8030927835
KR,2010,317688.500000,77721.4000,395409.900000,282.1389875666,69.02433393,351.1633214920
KR,2011,330211.000000,81306.1000,411517.100000,286.5295674433,70.55065296,357.0802204000
KR,2012,405526.000000,79666.6000,485192.600000,380.9902292371,74.84648628,455.8367155205
KR,2013,374697.000000,88382.5000,463079.500000,356.9222709087,84.18984568,441.1121165936
KR,2014,363269.000000,97466.2000,460735.200000,332.9749399622,89.33820968,422.3131496453
KR,2015,442470.000000,109289.0000,551759.000000,376.5509846306,93.00716559,469.5581502221
KR,2016,366872.000000,101124.1000,467996.100000,304.2485259116,83.86265062,388.1111765340
KR,2017,422740.000000,100792.0000,523532.000000,396.0464680532,94.42758104,490.4740490912
KR,2018,467934.000000,97406.0000,565340.000000,421.2016742428,87.67811333,508.8797875692
KR,2019,517061.000000,101700.0000,618761.000000,447.3465185493,87.98795681,535.3344753599
KR,2020,539834.000000,174473.1000,714307.100000,496.8513865496,160.58121876,657.4326053143
